target,Semester,Exam,Time_of_day,Month,Holiday
1,16,0,18,4,0
2,15,0,7,9,0
1,18,0,18,11,0
1,15,1,9,12,0
1,20,0,9,1,0
2,14,0,8,6,0
2,12,0,15,9,0
2,16,0,12,4,0
2,16,0,12,4,0
2,16,0,12,4,0
2,12,0,13,11,0
2,12,0,13,11,0
2,12,0,14,11,0
1,12,0,14,11,0
2,12,0,15,11,0
1,12,0,16,11,0
1,14,0,14,7,0
1,14,0,14,7,0
1,14,0,14,7,0
2,12,0,17,12,0
2,12,0,9,9,0
2,14,0,16,7,0
1,14,0,9,7,0
2,14,0,9,7,0
2,12,1,18,12,0
1,14,0,11,8,0
2,14,0,13,8,0
1,14,0,11,8,0
1,0,0,10,8,0
1,0,0,10,8,0
2,12,0,8,9,0
2,20,0,11,8,0
1,15,0,18,9,0
2,15,0,18,9,0
1,15,0,18,9,0
2,12,0,12,9,0
2,15,0,11,9,0
2,15,0,19,9,0
1,15,0,19,9,0
2,15,0,19,9,0
1,15,0,13,10,0
2,15,0,16,9,0
1,15,0,9,10,0
2,15,0,9,10,0
2,15,0,7,10,0
1,15,0,14,10,0
1,15,0,8,10,0
1,15,0,13,10,0
1,15,0,14,10,0
2,15,0,14,10,0
2,15,0,8,11,0
2,15,0,9,11,0
1,15,0,10,11,0
2,15,0,9,9,0
1,15,0,11,11,0
2,12,0,10,9,0
1,15,0,11,11,0
1,15,0,11,11,0
1,15,0,11,11,0
2,13,0,19,3,0
2,13,0,11,2,0
1,15,0,7,11,0
1,15,0,7,11,0
2,15,0,8,10,0
2,13,0,20,3,0
2,12,0,15,9,0
1,15,0,9,11,0
1,15,0,9,11,0
1,15,0,9,11,0
1,15,0,9,11,0
1,15,0,9,11,0
2,15,0,11,11,0
2,15,0,13,11,0
1,15,0,11,11,0
1,15,0,9,11,0
1,15,0,10,11,0
2,14,0,11,6,0
2,15,0,7,11,0
1,15,0,9,12,0
1,15,0,10,12,0
1,15,0,10,12,0
2,15,0,12,10,0
1,15,0,12,12,0
1,15,1,9,12,0
2,12,0,11,10,0
2,13,0,10,4,0
2,12,0,17,10,0
1,16,0,11,1,0
2,16,0,11,1,0
2,15,0,10,8,0
2,15,0,18,9,0
1,16,0,9,2,0
1,16,0,9,2,0
2,15,0,11,11,0
1,16,0,10,2,0
1,16,0,19,2,0
2,15,0,17,10,0
1,16,0,14,2,0
1,16,0,8,3,0
2,14,0,9,5,0
2,12,0,10,9,0
1,16,0,10,3,0
1,16,0,10,3,0
2,12,0,10,10,0
2,15,0,9,12,0
1,16,0,11,3,0
1,16,0,11,3,0
1,16,0,11,3,0
2,16,0,11,1,0
2,12,0,14,11,0
2,15,0,16,10,0
2,15,0,20,9,0
2,16,0,10,1,0
2,16,0,12,3,0
2,16,0,12,3,0
1,16,0,14,3,0
2,12,0,16,10,0
1,16,0,11,4,0
2,13,0,15,4,0
1,12,0,15,8,0
1,12,0,18,9,0
2,12,0,18,9,0
2,12,0,14,9,0
2,12,0,14,9,0
2,12,0,14,9,0
1,12,0,14,9,0
2,12,0,17,9,0
1,12,0,18,9,0
2,12,0,10,9,0
1,12,0,8,9,0
2,12,0,11,9,0
1,12,0,14,9,0
2,12,0,13,9,0
2,12,0,15,9,0
2,12,0,16,9,0
2,12,0,17,9,0
1,12,0,9,9,0
2,12,0,15,9,0
2,12,0,18,9,0
2,12,0,10,9,0
1,12,0,12,9,0
1,12,0,12,9,0
1,12,0,15,9,0
2,12,0,18,9,0
1,12,0,18,9,0
1,12,0,18,9,0
2,12,0,18,9,0
2,12,0,15,9,0
2,12,0,8,9,0
1,12,0,14,9,0
2,12,0,14,9,0
2,12,0,14,9,0
2,12,0,15,9,0
2,12,0,10,9,0
2,12,0,11,9,0
2,12,0,15,9,0
1,12,0,18,9,0
2,12,0,18,9,0
1,12,0,11,9,0
1,12,0,11,9,0
2,12,0,11,9,0
2,12,0,17,9,0
1,12,0,17,10,0
1,12,0,18,10,0
1,12,0,12,10,0
2,12,0,11,10,0
2,12,0,17,10,0
2,12,0,17,10,0
1,12,0,17,10,0
1,12,0,18,10,0
2,12,0,18,10,0
1,12,0,11,10,0
2,12,0,9,10,0
1,12,0,17,10,0
2,12,0,10,10,0
1,12,0,13,10,0
1,12,0,18,10,0
2,12,0,17,10,0
2,12,0,16,10,0
2,12,0,17,8,0
1,12,0,18,11,0
2,12,0,18,11,0
2,12,0,18,9,0
2,12,0,20,9,0
2,12,0,12,11,0
1,12,0,13,11,0
1,12,0,16,11,0
1,12,0,18,11,0
1,12,0,18,11,0
1,12,0,18,11,0
1,12,0,8,11,0
1,12,0,13,11,0
2,12,0,18,11,0
1,12,0,18,11,0
1,12,0,18,11,0
1,12,0,11,11,0
1,12,0,15,11,0
2,12,0,11,11,0
2,12,0,10,9,0
2,12,0,11,9,0
1,12,0,12,11,0
2,12,0,10,11,0
2,12,0,13,11,0
1,12,0,18,11,0
2,12,0,11,12,0
1,12,0,18,12,0
1,12,0,17,12,0
2,12,1,18,12,0
2,12,0,14,9,0
2,12,0,10,9,0
1,20,0,14,1,0
1,20,0,12,1,0
1,13,0,10,1,0
2,13,0,14,1,0
1,13,0,9,2,0
2,13,0,9,2,0
1,13,0,9,2,0
2,12,0,12,11,0
1,13,0,11,2,0
1,13,0,10,2,0
2,12,0,9,9,0
2,12,0,9,10,0
2,13,0,18,2,0
2,13,0,18,2,0
2,13,0,8,2,0
2,13,0,18,2,0
2,13,0,11,3,0
1,13,0,11,3,0
2,13,0,11,3,0
2,13,0,16,3,0
1,13,0,14,3,0
1,13,0,13,3,0
1,13,0,16,3,0
2,13,0,16,3,0
2,12,0,14,12,0
1,13,0,12,3,0
2,12,0,15,11,0
1,13,0,14,3,0
1,13,0,9,3,0
2,12,0,16,10,0
1,13,0,18,3,0
2,13,0,19,3,0
2,13,0,19,3,0
1,13,0,13,3,0
2,13,0,11,3,0
2,13,0,19,3,0
2,12,0,10,9,0
2,13,0,11,4,0
1,13,0,11,4,0
2,13,0,11,4,0
2,13,0,12,4,0
2,12,0,9,9,0
1,13,0,10,4,0
1,13,0,9,4,0
2,12,0,9,9,0
1,13,0,18,4,0
2,12,0,17,11,0
1,13,0,19,4,0
2,13,0,15,4,0
2,12,0,10,9,0
2,13,0,13,4,0
1,13,0,16,4,0
1,13,0,16,4,0
2,12,0,13,10,0
1,13,0,17,4,0
1,13,0,17,4,0
1,13,0,20,4,0
2,13,0,20,4,0
1,13,0,11,4,0
1,13,0,11,4,0
1,13,0,15,5,0
1,13,1,8,5,0
2,13,1,8,5,0
2,13,1,8,5,0
1,13,1,12,5,0
1,14,0,8,5,0
1,14,0,8,5,0
2,13,0,10,4,0
2,13,0,16,4,0
2,14,0,20,6,0
2,14,0,17,6,0
2,12,0,17,9,0
2,14,0,11,6,0
1,14,0,12,6,0
1,14,0,16,6,0
1,14,0,14,6,0
1,14,0,16,6,0
2,12,0,16,10,0
2,14,0,13,7,0
2,14,0,15,7,0
2,14,0,10,7,0
2,12,0,17,9,0
2,12,0,11,11,0
1,14,0,10,7,0
1,14,0,10,7,0
1,14,0,11,7,0
2,14,0,11,7,0
1,14,0,11,7,0
2,14,0,12,7,0
2,12,0,13,9,0
2,14,0,13,7,0
1,14,0,18,8,0
1,14,0,18,8,0
2,14,0,15,8,0
1,14,0,11,8,0
2,14,0,10,8,0
1,14,1,11,8,0
2,12,0,9,10,0
1,0,0,10,8,0
1,20,0,8,8,0
1,20,0,8,8,0
1,20,0,10,8,0
1,20,0,9,8,0
1,20,0,10,8,0
1,20,0,8,8,0
1,20,0,8,8,0
2,12,0,7,9,0
2,13,0,9,4,0
1,15,0,9,8,0
1,15,0,9,8,0
2,13,0,12,3,0
1,15,0,9,8,0
2,13,0,8,3,0
2,12,0,18,10,0
2,15,0,19,8,0
2,15,0,19,8,0
1,15,0,19,8,0
1,15,0,8,8,0
2,12,0,12,9,0
2,15,0,12,8,0
2,15,0,9,8,0
1,15,0,13,8,0
1,15,0,13,8,0
2,15,0,18,8,0
2,15,0,18,8,0
2,13,0,9,2,0
2,15,0,8,8,0
2,12,0,11,11,0
2,13,0,9,3,0
2,15,0,8,9,0
2,15,0,14,9,0
2,15,0,15,9,0
2,13,0,15,4,0
2,15,0,12,9,0
1,15,0,9,9,0
1,15,0,9,9,0
2,15,0,13,9,0
1,15,0,13,9,0
2,15,0,13,9,0
1,15,0,17,9,0
2,13,0,12,4,0
1,15,0,18,9,0
2,15,0,17,9,0
2,12,0,14,9,0
2,15,0,19,9,0
1,15,0,19,9,0
2,12,1,17,12,0
2,12,0,9,9,0
2,12,1,18,12,0
1,15,0,17,9,0
1,15,0,17,9,0
2,15,0,7,9,0
1,15,0,7,9,0
2,12,0,15,9,0
1,15,0,18,9,0
1,15,0,12,9,0
1,15,0,16,9,0
1,15,0,20,9,0
2,12,0,15,11,0
1,15,0,12,9,0
1,15,0,9,9,0
1,15,0,13,9,0
2,14,0,20,6,0
2,15,0,12,9,0
2,15,0,13,9,0
1,15,0,14,10,0
2,13,0,10,4,0
2,15,0,9,10,0
2,12,0,12,12,0
2,15,0,14,10,0
1,15,0,17,10,0
1,15,0,13,10,0
2,15,0,15,9,0
